Period,Age Group,Category 0,Category 1
10,0-20,111,137
10,20-40,93,92
10,40-60,103,82
10,60-80,109,110
10,80-inf,83,91
11,0-20,118,141
11,20-40,93,92
11,40-60,102,81
11,60-80,109,110
11,80-inf,81,90
12,0-20,121,143
12,20-40,93,92
12,40-60,101,81
12,60-80,109,110
12,80-inf,81,89
13,0-20,127,143
13,20-40,91,91
13,40-60,101,81
13,60-80,108,110
13,80-inf,81,89
14,0-20,129,147
14,20-40,91,89
14,40-60,101,80
14,60-80,107,110
14,80-inf,80,89
15,0-20,132,148
15,20-40,91,89
15,40-60,101,80
15,60-80,107,109
15,80-inf,78,88
16,0-20,138,151
16,20-40,91,89
16,40-60,101,80
16,60-80,106,108
16,80-inf,77,87
17,0-20,141,154
17,20-40,91,88
17,40-60,101,80
17,60-80,106,107
17,80-inf,76,87
18,0-20,143,158
18,20-40,91,87
18,40-60,100,80
18,60-80,105,107
18,80-inf,75,86
19,0-20,142,160
19,20-40,90,85
19,40-60,100,80
19,60-80,105,107
19,80-inf,75,86
20,0-20,148,163
20,20-40,89,84
20,40-60,98,80
20,60-80,105,107
20,80-inf,74,86
21,0-20,151,168
21,20-40,89,84
21,40-60,97,80
21,60-80,105,106
21,80-inf,74,86
22,0-20,155,175
22,20-40,89,83
22,40-60,97,80
22,60-80,105,106
22,80-inf,74,86
23,0-20,158,177
23,20-40,89,82
23,40-60,96,80
23,60-80,105,105
23,80-inf,74,84
24,0-20,160,178
24,20-40,89,81
24,40-60,95,78
24,60-80,105,105
24,80-inf,74,83
25,0-20,165,182
25,20-40,89,80
25,40-60,93,78
25,60-80,105,104
25,80-inf,74,83
26,0-20,166,183
26,20-40,89,80
26,40-60,93,78
26,60-80,105,104
26,80-inf,74,83
27,0-20,172,184
27,20-40,88,80
27,40-60,93,76
27,60-80,105,103
27,80-inf,73,83
28,0-20,175,186
28,20-40,87,79
28,40-60,93,76
28,60-80,105,103
28,80-inf,73,83
29,0-20,178,189
29,20-40,87,77
29,40-60,93,76
29,60-80,104,102
29,80-inf,71,83
30,0-20,180,197
30,20-40,87,77
30,40-60,92,76
30,60-80,102,102
30,80-inf,69,83
31,0-20,185,198
31,20-40,87,77
31,40-60,92,76
31,60-80,101,102
31,80-inf,69,81
32,0-20,188,208
32,20-40,86,76
32,40-60,92,76
32,60-80,101,101
32,80-inf,68,81
33,0-20,194,211
33,20-40,85,76
33,40-60,92,76
33,60-80,100,101
33,80-inf,67,81
34,0-20,196,213
34,20-40,84,75
34,40-60,91,75
34,60-80,100,101
34,80-inf,67,81
35,0-20,198,220
35,20-40,84,75
35,40-60,91,75
35,60-80,99,100
35,80-inf,67,81
36,0-20,200,222
36,20-40,83,74
36,40-60,90,75
36,60-80,99,100
36,80-inf,67,81
37,0-20,204,224
37,20-40,83,74
37,40-60,89,75
37,60-80,99,99
37,80-inf,65,81
38,0-20,205,228
38,20-40,83,74
38,40-60,89,74
38,60-80,98,99
38,80-inf,65,81
39,0-20,209,234
39,20-40,83,74
39,40-60,89,73
39,60-80,98,98
39,80-inf,65,81
40,0-20,208,234
40,20-40,82,74
40,40-60,88,73
40,60-80,98,98
40,80-inf,65,79
41,0-20,211,238
41,20-40,81,73
41,40-60,88,73
41,60-80,98,98
41,80-inf,65,79
42,0-20,216,239
42,20-40,81,73
42,40-60,88,72
42,60-80,97,98
42,80-inf,65,79
43,0-20,220,243
43,20-40,81,73
43,40-60,87,72
43,60-80,96,97
43,80-inf,65,77
44,0-20,227,244
44,20-40,81,73
44,40-60,84,72
44,60-80,95,95
44,80-inf,65,76
45,0-20,230,246
45,20-40,81,72
45,40-60,83,72
45,60-80,95,94
45,80-inf,64,74
46,0-20,232,249
46,20-40,81,72
46,40-60,83,72
46,60-80,95,92
46,80-inf,64,74
47,0-20,235,250
47,20-40,80,72
47,40-60,83,71
47,60-80,95,91
47,80-inf,64,73
48,0-20,233,252
48,20-40,79,72
48,40-60,81,71
48,60-80,95,91
48,80-inf,64,73
49,0-20,237,252
49,20-40,78,72
49,40-60,81,69
49,60-80,93,91
49,80-inf,63,72
50,0-20,240,255
50,20-40,78,71
50,40-60,81,69
50,60-80,91,91
50,80-inf,63,72
51,0-20,241,254
51,20-40,77,70
51,40-60,80,69
51,60-80,90,91
51,80-inf,63,72
Period,Age Group,Category 0,Category 1
0,0-20,104,103
0,20-40,95,114
0,40-60,108,91
0,60-80,105,83
0,80-inf,90,107
1,0-20,109,104
1,20-40,92,111
1,40-60,108,91
1,60-80,104,83
1,80-inf,89,107
2,0-20,108,106
2,20-40,92,108
2,40-60,108,90
2,60-80,104,83
2,80-inf,88,107
3,0-20,110,110
3,20-40,90,108
3,40-60,107,89
3,60-80,104,83
3,80-inf,87,106
4,0-20,115,113
4,20-40,89,108
4,40-60,107,86
4,60-80,104,83
4,80-inf,87,105
5,0-20,115,115
5,20-40,89,108
5,40-60,107,85
5,60-80,104,83
5,80-inf,86,103
6,0-20,115,117
6,20-40,89,107
6,40-60,106,85
6,60-80,103,83
6,80-inf,86,102
7,0-20,118,119
7,20-40,89,107
7,40-60,106,85
7,60-80,102,83
7,80-inf,86,102
8,0-20,121,121
8,20-40,87,106
8,40-60,106,85
8,60-80,101,83
8,80-inf,86,101
9,0-20,124,125
9,20-40,87,104
9,40-60,105,84
9,60-80,100,82
9,80-inf,86,100
10,0-20,128,127
10,20-40,87,104
10,40-60,105,84
10,60-80,99,81
10,80-inf,86,100
11,0-20,128,132
11,20-40,87,104
11,40-60,105,84
11,60-80,98,80
11,80-inf,86,100
12,0-20,139,137
12,20-40,86,104
12,40-60,105,83
12,60-80,98,78
12,80-inf,86,98
13,0-20,137,141
13,20-40,86,104
13,40-60,105,83
13,60-80,98,77
13,80-inf,85,98
14,0-20,138,143
14,20-40,85,104
14,40-60,105,83
14,60-80,98,76
14,80-inf,84,98
15,0-20,141,148
15,20-40,85,103
15,40-60,105,82
15,60-80,98,75
15,80-inf,84,96
16,0-20,145,149
16,20-40,84,103
16,40-60,104,82
16,60-80,98,73
16,80-inf,84,96
17,0-20,146,154
17,20-40,83,103
17,40-60,104,82
17,60-80,97,73
17,80-inf,84,96
18,0-20,147,158
18,20-40,82,103
18,40-60,104,82
18,60-80,97,72
18,80-inf,81,95
19,0-20,147,159
19,20-40,82,102
19,40-60,102,82
19,60-80,96,72
19,80-inf,81,95
20,0-20,151,160
20,20-40,82,102
20,40-60,101,82
20,60-80,96,71
20,80-inf,81,94
21,0-20,152,163
21,20-40,82,99
21,40-60,100,81
21,60-80,96,71
21,80-inf,81,94
22,0-20,156,165
22,20-40,82,98
22,40-60,100,79
22,60-80,96,71
22,80-inf,81,94
23,0-20,161,169
23,20-40,81,97
23,40-60,100,79
23,60-80,95,70
23,80-inf,80,93
24,0-20,163,172
24,20-40,81,97
24,40-60,99,79
